feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia	timepoint	timepoint	-1.61901933741197	0.183648370396376	63	61	2.95125067952671e-12	1.24183999181653e-10
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	timepoint	timepoint	-1.40241538467118	0.160539553317619	63	62	3.668678578713e-12	1.5140354288304e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Thalassolituus	timepoint	timepoint	0.993768333045901	0.11311955465135	63	63	3.9195529657707e-12	1.58704918198942e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Thalassolituus.s__uncultured_bacterium	timepoint	timepoint	0.995234178721839	0.11357032799148	63	63	4.25225248454557e-12	1.68987663552496e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	timepoint	timepoint	-1.52750344738233	0.175103468723232	63	54	4.42899194345106e-12	1.69725298404392e-10
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella.__	timepoint	timepoint	-1.52750344738233	0.175103468723232	63	54	4.42899194345106e-12	1.69725298404392e-10
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Thalassobius	timepoint	timepoint	0.718816650386512	0.080975440237872	63	61	6.13829661402143e-12	2.27116974718793e-10
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Thalassobius.__	timepoint	timepoint	0.718816650386512	0.080975440237872	63	61	6.13829661402143e-12	2.27116974718793e-10
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_III	timepoint	timepoint	-0.972077143111261	0.114221350441591	63	63	6.63133939851961e-12	2.37180905820385e-10
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_III.g__Clade_III	timepoint	timepoint	-0.972077143111261	0.114221350441591	63	63	6.63133939851961e-12	2.37180905820385e-10
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	timepoint	timepoint	2.23416405557571	0.256205697827684	63	51	7.25522498721853e-12	2.43276762852671e-10
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	timepoint	timepoint	2.23416405557571	0.256205697827684	63	51	7.25522498721853e-12	2.43276762852671e-10
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__.__	timepoint	timepoint	2.23416405557571	0.256205697827684	63	51	7.25522498721853e-12	2.43276762852671e-10
