feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.6349	timepoint	timepoint	-1.00204165023255	0.239033160017262	63	30	9.66728515950239e-05	0.000354896779633288
PWY.6350	timepoint	timepoint	-0.997591219878857	0.237905815225428	63	30	9.62919260387059e-05	0.000354896779633288
PWY.7196	timepoint	timepoint	0.0548048887836773	0.0131420323692984	63	63	0.000104712965632097	0.000382711989434126
RIBOSYN2.PWY	timepoint	timepoint	0.0134317390777192	0.00322372087869202	63	63	0.000105686359914114	0.000384567988057527
PWY.7376	timepoint	timepoint	0.24928965894633	0.0597660545389145	63	63	0.000114701103389887	0.000415539962280907
PWY.6126	timepoint	timepoint	0.0122664696930449	0.00298687858524566	63	63	0.000127076448624986	0.000456370202453211
SULFATE.CYS.PWY	timepoint	timepoint	-0.0137664830847062	0.00335916914705508	63	63	0.000126890253854386	0.000456370202453211
PWY.5189	timepoint	timepoint	0.01480339579655	0.00361298605334344	63	63	0.000134912466195223	0.000482414273061708
PWY.5532	timepoint	timepoint	-0.640519112577102	0.157828708833192	63	14	0.000152265326555517	0.00054211706782266
PWY.7187	timepoint	timepoint	-0.0741803638454851	0.0181986454713793	63	63	0.000154631633658749	0.000548179096146468
PWY.7663	timepoint	timepoint	-0.0291888140210707	0.00723678414968301	63	63	0.000164113779550072	0.000579307614992988
PWY.6581	timepoint	timepoint	0.402027371661324	0.100213109157227	63	62	0.000184607661074534	0.000648876289564107
PWY.1541	timepoint	timepoint	0.231196814068084	0.0576971523886284	63	63	0.000191164390000174	0.00066907536500061
LPSSYN.PWY	timepoint	timepoint	-1.39313215541884	0.350772154966577	63	27	0.000193777395325392	0.000675359192146724
NAGLIPASYN.PWY	timepoint	timepoint	0.0153980611162515	0.0038883291386608	63	63	0.000201342611619569	0.000698777299150271
PWY.5430	timepoint	timepoint	-0.360344449996911	0.0903725856652659	63	63	0.000205966311486898	0.0007118333610384
PWY.6385	timepoint	timepoint	0.0165005054016869	0.00415914378166678	63	63	0.000221019319104739	0.000760674823252142
PWY.6121	timepoint	timepoint	0.0140124789123732	0.00356019320183737	63	63	0.000225841258474382	0.000774045143152861
PWY0.1586	timepoint	timepoint	-0.0197728913584647	0.00500846452625386	63	63	0.000235829092807001	0.000804937316771002
DENITRIFICATION.PWY	leachate	leachate	-0.221981914665929	0.0562151544627702	63	63	0.00023830252259826	0.00081003244307063
AST.PWY	timepoint	timepoint	0.0759721637024453	0.0194989743333732	63	63	0.000248605509827601	0.000841590783268847
PWY.6123	timepoint	timepoint	0.0122698850058966	0.00315658785761062	63	63	0.00025618821684528	0.000863720273935514
COMPLETE.ARO.PWY	timepoint	timepoint	0.01163962785949	0.00300343332989719	63	63	0.000290351287472045	0.000974919363625646
PWY.7286	timepoint	timepoint	-0.600283178633592	0.155966732103486	63	12	0.000302926517692039	0.00101302552070293
GOLPDLCAT.PWY	timepoint	timepoint	-1.92024252500134	0.50084683710322	63	35	0.000319046368897878	0.00106263024479696
PWY.6572	timepoint	timepoint	-0.955131992528516	0.251308391258497	63	20	0.000354260230438956	0.00117517650739991
PWY.6107	timepoint	timepoint	-1.29829712364698	0.340949083491675	63	55	0.00035904590441107	0.00118628766817418
PWY.5419	timepoint	timepoint	0.197023323002284	0.0536982817552814	63	63	0.000542982548011281	0.00178309540691096
PWY.6728	leachate	leachate	-0.288000436410235	0.0780141360911636	63	63	0.00054399520888809	0.00178309540691096
PWY.7234	timepoint	timepoint	0.0114242614056155	0.00313356763584364	63	63	0.000558890384204907	0.00182467769704843
PWY.7229	timepoint	timepoint	0.0106693089532039	0.00294933213574985	63	63	0.000623648337529309	0.00202808475117799
PWY.3801	timepoint	timepoint	-0.998170885585355	0.278281969121965	63	43	0.000673350807125174	0.00217260846361482
