feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.1.97.1.4	leachate	leachate	-0.0116852803382861	0.0325180812810527	63	63	0.720807578258412	0.834840099898235
EC.2.3.1.201	leachate	leachate	-0.0328287508150266	0.0913471019910187	63	63	0.720764701532895	0.834840099898235
EC.2.7.1.24	leachate	leachate	0.000832949131721201	0.00232026372014072	63	63	0.721090018552979	0.834946337271871
EC.1.14.99.48	leachate	leachate	-0.0732152772385196	0.204850645790467	63	62	0.7220404577579	0.83582578637337
EC.4.2.2.3	leachate	leachate	0.0131518561395366	0.0368207221437317	63	63	0.722322969753642	0.835931790003026
EC.5.3.1.27	leachate	leachate	0.0642717284112234	0.180155591875243	63	63	0.722646549149248	0.836085251631979
EC.2.3.3.10	timepoint	timepoint	0.0323416257887535	0.090876055849034	63	63	0.723230904506352	0.836500656874933
EC.6.3.3.2	leachate	leachate	0.000800143890115423	0.00224859343793	63	63	0.723387731139446	0.836500656874933
EC.1.14.14.8	timepoint	timepoint	0.0909910433131392	0.25609311916084	63	7	0.72360750028913	0.836533835824086
EC.1.1.1.58	leachate	leachate	0.0521358829878811	0.147593342089326	63	63	0.725292793435725	0.838260783965576
EC.4.2.3.4	leachate	leachate	0.000841554500968193	0.00238381531416234	63	63	0.725500307366174	0.838279320572476
EC.3.5.1.94	leachate	leachate	-0.125023564401525	0.354868661233882	63	41	0.726133673567381	0.838789768569392
EC.1.8.5.2	leachate	leachate	-0.0489998521928565	0.139575026125493	63	63	0.726907583894416	0.839240876131265
EC.4.2.1.47	timepoint	timepoint	0.0270343482061142	0.0769470132477231	63	63	0.726779408268668	0.839240876131265
EC.3.1.4.52	leachate	leachate	-0.0809995404128501	0.231048565028973	63	62	0.727410469605623	0.839600062202325
EC.3.7.1.2	leachate	leachate	0.00868017867454384	0.0248138711827916	63	63	0.727806409942639	0.839835651747199
EC.3.1.3.11	leachate	leachate	-0.00301533465675172	0.00864775949806399	63	63	0.728800539149302	0.840761201685282
EC.2.3.1.28	leachate	leachate	-0.0132978435515153	0.038191310600865	63	63	0.728999545804316	0.84076923380698
EC.3.5.2.17	leachate	leachate	-0.00803682420093391	0.0231083095155154	63	63	0.729215559213171	0.840796870749345
EC.2.7.1.64	leachate	leachate	-0.0367432820469861	0.105868637401918	63	6	0.729824349324641	0.840834474037705
EC.2.7.3.2	leachate	leachate	-0.0367432820469861	0.105868637401918	63	6	0.729824349324641	0.840834474037705
EC.3.1.26.3	leachate	leachate	0.000810582679098899	0.00233172777601371	63	63	0.729551414264958	0.840834474037705
EC.1.1.1.339	leachate	leachate	-0.0858336877283344	0.247750959398594	63	59	0.730344029570141	0.840935944420409
EC.2.1.3.2	timepoint	timepoint	-0.00205443459561411	0.00592919385850772	63	63	0.730296192883653	0.840935944420409
EC.2.3.2.16	leachate	leachate	-0.072260219330468	0.208792608946155	63	62	0.730488669856285	0.840935944420409
EC.2.7.7.8	leachate	leachate	0.000802287452790653	0.00231875591935477	63	63	0.730773778049289	0.841043007439481
EC.1.17.4.1	leachate	leachate	0.000932549237391897	0.00270247474686462	63	63	0.731393021410369	0.841129946611574
EC.3.6.1.21	leachate	leachate	0.0445571782716327	0.129007490822702	63	12	0.731099230384751	0.841129946611574
EC.6.3.4.21	timepoint	timepoint	-0.018848641235208	0.0546273887926175	63	63	0.731425698207004	0.841129946611574
